hash,benchmark,verified-result,claimed-result,dps,gimsatul,mallob-ki,mergesat-aws,pakismab22,pmcomsps
00063d88244921d6ec46aeab6866a8e2,6s16.cnf,unsat,unsat,1277.776,10000.0,1.068,169.987,10000.0,1312.263
000a41cdca43be89ed62ea3abf2d0b64,snw_13_9_pre.cnf,sat,sat,127.358,336.92,9.586,10.261,193.728,88.228
002a0330958a14deb23dcc84b5489e8a,traffic_f_unknown.cnf,unsat,unsat,413.791,558.653,23.098,357.185,684.768,473.062
0033baadbd48d3f880e9b5a733bd4950,rope_0030.shuffled.cnf,unsat,unsat,3.585,5.288,0.766,0.279,1.263,3.853
003a77d2aa15a5f93aa2cfe79b986c9e,fclqcolor-20-15-15.shuffled-as.sat05-1270.cnf,sat,sat,2.546,26.39,0.897,0.266,1.661,4.775
0041051c73dcdd885d412a38e8b09fba,rphp4_065_shuffled.cnf,unsat,unsat,252.194,930.587,30.481,584.019,2285.033,212.541
0041f01bcd7d0d1f9541cea6da79ad57,SGI_30_60_24_40_2-dir.shuffled-as.sat03-118.cnf,unsat,unsat,87.473,446.503,21.79,1469.055,10000.0,319.104
004b0f451f7d96f6a572e9e76360f51a,spg_420_280.cnf,unsat,unsat,376.216,735.456,10000.0,47.989,308.824,224.711
0059d4b1cf79efbc6e6ed50caee0448e,4col220_9_1.shuffled.cnf,sat,sat,10000.0,10000.0,15.279,3048.696,3426.006,10000.0
005ccb378ced61c02105ed7ee0a62038,mm-2x2-5-0-s.1.shuffled-as.sat03-1496.cnf,unsat,unsat,31.188,51.817,1.877,4.457,27.455,34.016
0062dc10471119b9e13da682216b190f,ex179_11.cnf,sat,sat,188.303,195.839,375.763,89.307,1616.114,1615.909
0064aa2e16c9d4b18d32a45d3073fce9,desmul.miter.used-as.sat04-330.cnf,unsat,unsat,112.278,32.203,13.137,26.084,135.538,210.978
0071b624d91ebe408b0585f8c4e34fd9,ctl_4291_567_7_unsat.cnf,unsat,unsat,969.164,386.998,46.805,742.117,10000.0,1026.925
008e7716c69009090ff6bd0048dc55f8,SAT_dat.k10.cnf,unsat,unsat,1124.032,1579.001,136.484,92.334,455.885,1514.178
00a62eb89afbf27e1addf8f5c437da9b,ortholatin-7.cnf,sat,sat,25.117,95.745,5.873,2.778,67.325,23.715
00a981f385cd209d41e1efa1f5f29bac,ibm-2004-03-k70.cnf,sat,sat,29.593,38.153,7.244,4.205,6.102,39.203
00aefd1fc30c425075166ca051e57218,barman-pfile10-038.sas.ex.15.cnf,unsat,unsat,189.385,1695.125,29.269,10000.0,255.014,10000.0
00b9b467c26540853360491401da61a5,minand064.cnf,unsat,unsat,172.996,0.484,3.121,1.251,21.339,8.548
00be590675417eba2bb2585790ac392d,iso-brn008.shuffled-as.sat05-2933.cnf,sat,sat,0.845,1.823,0.938,0.063,2.118,4.554
00d239e486137a4f7264adb4fb57d5ae,hwb-n24-01-S1048418025.shuffled-as.sat03-1617.cnf,unsat,unsat,355.297,248.625,8.781,472.79,1520.626,13.466
00e289099ea9bcef6a056a8c8ba8a3c0,ndist.b.21497.cnf,sat,sat,17.505,6.869,4.393,1.758,11.728,33.312
00ec2992d59f85705eb8e1f4f1e01b3d,sgen4-sat-280-8.cnf,sat,sat,10000.0,10000.0,757.705,10000.0,10000.0,10000.0
00f2eb377986e7decbc863931680a3b2,rand_net70-40-10.shuffled.cnf,unsat,unsat,34.709,66.392,0.667,6.584,64.426,11.883
00f4aca773e5675f35263dcd46b15bde,vmpc_28.shuffled-as.sat05-1957.cnf,sat,sat,63.771,13.738,4.174,1.539,7.777,39.14
00f969737ba4338bd233cd3ed249bd55,3col20_5_6.shuffled.cnf,unsat,unsat,0.266,0.052,0.671,0.039,1.299,3.62
0101d013a916d903e8e618d7db1edbb3,phnf-size10-exclusive-equilarge_l3.used-as.sat04-895.sat05-4189.reshuffled-07.cnf,unknown,unknown,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
0107f34364dfff8ab062193b2c71b4de,sp4-33-bin-nons-flat-noid.cnf,unsat,unsat,173.202,1111.972,11.779,910.608,4601.676,195.367
010c9d7a6e9e6cac63f110915d9dd56e,3col60_5_9.shuffled.cnf,unsat,unsat,0.064,0.054,0.671,0.046,1.041,4.033
01135f7a79d555bd0406f00fac22cbe2,SC21_Timetable_C_140_E_29_Cl_10_S_15.cnf,unknown,unknown,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
01209700b6b45ca5fda7fbcb17765db1,slp-synthesis-aes-top27.cnf,sat,sat,339.324,986.368,167.199,168.408,274.842,1050.239
01225987412b6f8423cc68be93385f6e,eqspwtrc16bparrc16.cnf,unknown,unknown,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
01243b47967a3d012ea22e993355c833,f8bidw.cnf,unsat,unsat,1189.561,131.045,122.272,73.752,1266.726,860.952
013a51ccada51812061ed2d6504e23a5,gensys-icl003.shuffled-as.sat05-3824.cnf,unsat,unsat,69.662,306.471,5.769,79.421,1468.081,130.195
0141b82b3d2a411d8c2168119e2d7452,rope_0012.shuffled.cnf,unsat,unsat,0.917,1.93,81.399,0.139,1.72,10000.0
0151bedac526ee195bc52e4134cd80e7,ssAES_4-4-8_round_8-10_faultAt_8_fault_injections_2_seed_1579630418.cnf,sat,sat,10000.0,10000.0,2907.554,1295.803,10000.0,10000.0
0152d286cde406747d179c36a95c2fdc,shift1add.10000.cnf,unsat,unsat,48.895,7.311,59.861,2.779,67.967,91.695
01657386753a1369dd286a3fee9062e4,SGI_30_70_28_60_1-log.shuffled-as.sat03-176.cnf,unknown,unsat,10000.0,10000.0,1234.889,10000.0,10000.0,10000.0
0167ead7da1e981805564ca981f64bea,aim-200-6_0-yes1-4.cnf.mis-135.debugged.cnf,unknown,unknown,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
017bba0f995e6d9921253e5a59521435,9symml_gr_2pin_w6.shuffled.cnf,sat,sat,0.19,33.274,0.766,0.38,3.054,6.521
01843a0195183ca14246a88bf7bad482,smulo016.cnf,unsat,unsat,43.581,22.79,3.771,22.521,16.329,16.595
0191a0bf3412ed407ba669f8d69081ee,mrpp_6x6#18_20.cnf,sat,sat,94.308,143.423,17.586,22.449,72.295,66.17
01966a0fc52b2200a13f5f835275a919,SGI_30_70_27_50_3-dir.shuffled-as.sat03-169.cnf,unsat,unsat,181.254,2206.12,122.777,3369.396,10000.0,3549.885
01979ca4966cc363ec3caeebd8d3fc31,connm-ue-csp-sat-n600-d0.04-s1979668539.used-as.sat04-981.cnf,unsat,unsat,113.405,234.432,91.06,210.829,245.446,167.232
019dc69c96737c3d62696c9acf3edf1b,T107.2.0.cnf,unsat,unsat,3243.43,1548.095,501.597,336.308,10000.0,10000.0
01a74343f618546e9ad2a60849140317,crafted_n12_d6_c3_num26.cnf,unsat,unsat,417.784,242.264,59.577,1719.32,198.051,10000.0
01af042093bf36119811b6e658e7a231,ecgrid6x155_shuffled.cnf,unsat,unsat,10000.0,10000.0,1182.11,3000.453,10000.0,10000.0
01bc4d75a43a8293132d0be627341207,E04F19.cnf,sat,sat,13.589,115.488,84.426,57.705,37.57,123.883
01bd0865ab694bc71d80b7d285d5777d,shuffling-2-s1480152728-of-bench-sat04-434.used-as.sat04-711.cnf,unsat,unsat,1216.432,396.228,61.716,63.091,570.735,10000.0
01d142c43f3ce9a8c5ef7a1ecdbb6cba,urquhart3_25bis.shuffled.cnf,unsat,unsat,66.771,97.462,74.851,4.582,540.958,2.47
01d494c2afa4960a236bf8412e2bd08a,manol-pipe-c10id_s.cnf,unsat,unsat,45.054,192.179,8.076,7.072,79.564,10000.0
01dd5feb463fa80f73809718f6ff735b,10pipe_q0_k.cnf,unsat,unsat,2296.436,172.612,3116.622,108.491,2299.184,561.066
0205e0724a8a912dde9ad7dfba2aee0b,003-23-80.cnf,sat,sat,768.377,4001.232,1164.665,631.542,783.276,1017.078
02066c116dbacc40ec5cca2067db26c0,mrpp_4x4#12_12.cnf,unsat,unsat,88.503,53.327,10.708,71.698,22.239,22.484
021331d523ad3092616ff99cf0c6c355,arcfour_initialPermutation_6_14.cnf,unsat,unsat,96.396,841.558,107.568,233.287,1246.5,1220.347
021686368317a35103f1f671f783d958,velev-npe-1.0-9dlx-b71.cnf,sat,sat,157.044,1810.273,257.852,743.554,405.107,733.263
0216f9d35f2b695b904fffb312e3e611,cms-scheel-md5-families-r24-c11-p1-4-6-9-10-11-13-15-17-18-19.cnf,sat,sat,29.501,30.09,27.293,12.382,104.315,44.484
02197ec055ea06c347bf1c6ceb6facf7,slp-synthesis-aes-bottom24.cnf,unknown,unknown,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
02223564bd2f5c20768e63cf28c785e3,mp1-squ_ali_s10x10_c39_abio_SAT.cnf,sat,sat,93.643,666.377,5.671,43.052,91.589,4.484
02257f12aa71e6622d2bf4d0f7111ebf,sgen1-unsat-139-100.cnf.mis-105.debugged.cnf,unknown,unknown,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
0227c865edaeda75e13eea36d57b7eed,sdiv40prop.cnf,unknown,unknown,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
022b841952d37f0d6a0d050c9b4b0071,goldb-heqc-i8mul.cnf,unsat,unsat,334.536,548.751,14.796,21.018,1849.819,130.816
022dc7e9935f3570c088db58bd84b2c6,mrpp_6x6#12_8.cnf,unsat,unsat,0.833,10.968,74.986,0.144,2.618,4.907
02404a08ea36dd43362bbddc578c839d,ctl_4201_555_unsat.cnf,unsat,unsat,496.255,3332.24,82.679,968.906,10000.0,1084.62
0240f5bddc39ad2f0a786c811fc434a8,SC21_Timetable_C_542_E_71_Cl_36_S_35.cnf,sat,sat,638.888,229.515,10000.0,235.204,10000.0,1044.735
0241f35c5752768d2b0580533d143a14,53-131587.cnf,sat,sat,58.329,834.464,66.216,502.457,1272.522,127.652
024af9416f8c1dad1b4f974757e38d51,8-5-6.cnf,sat,sat,2130.451,10000.0,10000.0,1608.38,10000.0,10000.0
0261b44c278c36459061c368aa00575a,EDP3-12000.cnf,sat,sat,596.243,1376.948,10000.0,169.731,942.136,1710.567
02627689047d06fbb642eef14768d751,ps_200_300_70.cnf,unsat,unsat,192.809,348.06,23.7,143.903,27.196,226.058
0278eee117c3821771e2d18d710a89ad,equilarge_l5.sat05-522.reshuffled-07.cnf,unknown,unknown,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
028d0cc7af63e9bba5795f20e24db4f6,pyhala-braun-sat-35-4-04.shuffled.cnf,sat,sat,14.533,16.746,81.739,31.457,50.986,7.979
0294158664d9ada36bd23fbb652cb823,smtlib-qfbv-aigs-countbits128-tseitin.cnf,unsat,unsat,1466.644,4247.0,671.684,2046.214,2909.483,10000.0
0297c2a35f116ffd5382aea5b421e6df,Urquhart-s3-b3.shuffled-as.sat03-1556.cnf,unsat,unsat,57.964,23.176,2.042,4.444,136.42,10000.0
02b69d0e5c2b68d5c3d650164b6c277d,Q3inK08.cnf,sat,sat,0.931,0.951,0.774,0.069,1.571,4.59
02bc149bbe801807912f651c7bad3e74,dead-dnd008.shuffled-as.sat05-3114.cnf,unsat,unsat,1205.38,1652.97,40.104,1227.579,1332.707,1191.812
02c3f1d24074cba45a64d0b4b5aa0238,g2-hwmcc15deep-bobpcihm-k32.cnf,unsat,unsat,10000.0,10000.0,279.789,1931.782,10000.0,10000.0
02c6fe8483e4f4474b7ac9731772535d,ncc_none_7047_6_3_3_0_0_420.cnf,unsat,unsat,602.478,10000.0,255.775,139.579,4292.501,2760.361
02cfa5a71b5c89a1b10b5f5a5221ed05,clauses-8.cnf,sat,sat,1104.956,2738.761,132.001,291.273,1352.847,1396.191
02d8847ee38504792705d794eb93e9a7,traffic_b_unsat.cnf,unsat,unsat,39.226,1281.112,26.098,299.552,10000.0,582.468
02eef920cd1aab9ef3492fe27bf515c4,php-025-024.shuffled-as.sat05-1191.cnf,unknown,unsat,10000.0,10000.0,0.666,10000.0,10000.0,10000.0
02f2343e32f9070f149708d77556b4aa,Kakuro-easy-117-ext.xml.hg_5.cnf,sat,sat,10000.0,4187.254,783.067,440.247,1637.044,10000.0
03041657b7177746724b819433c83b20,blocks-4-ipc5-h21-unknown.cnf,unsat,unsat,239.829,20.574,14.59,18.558,1072.944,99.081
0309ea422084568c2b4df13b32094380,rbsat-v945c61409gyes1.cnf,sat,sat,150.211,18.6,87.931,403.121,2052.373,2904.948
031757c0a6797eddf3e84bcefbbdb753,b2005-p2-14x14c17h9-Ser4-0.cnf,unknown,unknown,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
031c99d72be38eedacc8b402784e9821,partial-10-17-u.cnf,unknown,unknown,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
033560dbd1b4d3545b4b40ef90aaaa29,total-5-15-u.cnf,unknown,unsat,10000.0,10000.0,693.009,10000.0,10000.0,10000.0
0336f81b60baac5b8f481dd3c32861a5,mod4block_2vars_10gates_u2_autoenc-sc2009.cnf,sat,sat,120.084,2002.712,4.975,91.991,805.295,10000.0
033743e540b7f6e2114a3e6981558795,li-test4-97.shuffled-as.sat03-375.cnf,unknown,unknown,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
033d611722714d5206cc0184479e92e2,urqh2x5.shuffled-as.sat03-1473.cnf,unsat,unsat,157.46,45.065,1.167,5.627,94.196,4.799
033f38da07bdbbad4763eaf1fe97ce37,AProVE07-27.cnf,unsat,unsat,449.546,593.08,31.848,552.258,1999.968,873.929
035c200bbf0a783e4ec9656cfa9b2f68,vmpc_34.shuffled-as.sat05-1958-sc2005.cnf,sat,sat,2114.012,10000.0,52.416,214.789,1999.231,530.056
036b541db9d0839b0591d408ff4f77ae,aes_decry_2_rounds.debugged.cnf,unsat,unsat,87.472,77.89,94.551,34.799,1241.765,712.815
0379936c75c225f1a9a113762b019da6,AProVE09-17.cnf,sat,sat,32.055,41.059,7.975,6.427,43.688,34.322
037c423f56548082b1935e88c48ffdda,3col120_5_2.shuffled.cnf,sat,sat,8.208,0.957,0.768,0.903,2.47,1.456
